Alue;VP_A;VP_BC;VP_DEF;VP_GHUX;VP_JKLM;VP_NO;VP_P;VP_Q
Pukkila;22.3529411764706;4.50980392156863;15.6862745098039;19.0196078431373;6.27450980392157;13.7254901960784;6.47058823529412;11.9607843137255
Punkalaidun;28.719723183391;15.8304498269896;12.4567474048443;18.4256055363322;3.28719723183391;5.79584775086505;5.79584775086505;9.68858131487889
Puolanka;24.4040862656073;4.99432463110102;6.46992054483541;24.4040862656073;5.788876276958;8.62656072644722;5.67536889897843;19.6367763904654
Puumala;23.5722964763062;5.34629404617254;7.04738760631835;29.0400972053463;3.76670716889429;6.68286755771567;9.96354799513973;14.5808019441069
Pyhtää;10.3281853281853;14.7683397683398;10.2316602316602;27.1235521235521;6.66023166023166;6.66023166023166;6.46718146718147;17.7606177606178
Pyhäjoki;18.7799043062201;19.9760765550239;8.49282296650718;16.2679425837321;7.6555023923445;5.74162679425837;7.41626794258373;15.6698564593301
Pyhäjärvi;15.7617290458619;20.2424881391671;5.79862941486558;21.3494992092778;3.79546652609383;7.27464417501318;6.11491829204006;19.6626251976805
Pyhäntä;10.0737100737101;52.3341523341523;4.79115479115479;11.7936117936118;1.22850122850123;5.03685503685504;5.28255528255528;9.45945945945946
Pyhäranta;9.06148867313916;48.0582524271845;5.8252427184466;14.8867313915858;6.14886731391586;4.85436893203883;3.55987055016181;7.60517799352751
Pälkäne;15.5844155844156;15.3679653679654;8.44155844155844;27.2727272727273;4.67532467532468;6.58008658008658;9.61038961038961;12.4675324675325
Pöytyä;17.9145299145299;21.7094017094017;8.58119658119658;17.1623931623932;4.85470085470085;5.4017094017094;6.42735042735043;17.9487179487179
Porvoo;1.76154363060382;23.8744360180474;9.37889987520399;25.8279735048478;9.44129787846789;9.29730248632044;7.1805702217529;13.2379763847557
Raahe;2.56692646560488;40.0118603863097;6.41308031175873;18.942731277533;5.94713656387665;7.42121314808539;6.03185360894612;12.6651982378855
Raisio;0.455085081123862;20.4392560348239;11.0803324099723;34.7150771666007;10.4669568658488;8.45864661654135;4.04629996042738;10.3383458646617
Rantasalmi;26.8292682926829;14.7865853658537;6.2500001;19.2835365853659;5.94512195121951;6.09756097560976;6.55487804878049;14.2530487804878
Ranua;22.4150943396226;7.47169811320755;4.90566037735849;24.7547169811321;3.39622641509434;8.75471698113208;11.4716981132075;16.8301886792453
Rauma;1.54539954902931;29.9180553264038;7.73799703019304;26.0518066325689;7.95248308859924;9.18990265632734;5.03767255128417;12.5666831655942
Rautalampi;22.2652468538238;14.3272023233301;5.22749273959342;22.6524685382381;4.74346563407551;5.13068731848984;4.84027105517909;20.8131655372701
Rautavaara;20.8409506398537;7.31261425959781;5.6672760511883;26.691042047532;2.55941499085923;7.6782449725777;6.58135283363803;22.6691042047532
Rautjärvi;10.0563153660499;36.8463395012068;2.81576830249397;17.8600160901046;6.75784392598552;7.16009654062751;4.98793242156074;13.515687851971
Reisjärvi;32.1253672869736;9.69637610186092;3.23212536728697;16.1606268364349;6.9539666993144;5.9745347698335;10.0881488736533;15.7688540646425
